"Timestamp","Why did you buy a reusable bottle?","Do you own more than one?"," What is your bottle's main material ?","Do you think reusable water bottles have an environmental impact?","Was the environmental aspect the main incentive for you to buy one?","Do you have technical requirements or improvements to suggest for reusable water bottles? (hold hot/cold ; size; cap/lid shape,handle,protection...)","Technical requirements or improvements for reusable water bottles  (if you answered yes above)","Do you find there are disadvantages to having one ? ","Disadvantages (if you answered yes above) :","Were you influenced by design or practicability ?"," What is the amount of money you are willing to spend on a reusable water bottle ?","Where did you buy your bottle?","How often do you use it ?"
"2021/07/06 12:25:49 AM GMT+1","i was travelling","No","Steel","Yes","No","Yes, explain below","cap size","No","","Practicality (easy to wash and carry,...)","10 to 15 euros","Sports shop","On a daily basis"
"2021/07/06 8:39:41 AM GMT+1","The 1st was an offer, the 2nd was because I wanted one in glass (to avoid as much as possible the intake ofplasticisers)","Yes","Glass","Yes","Yes","Yes, explain below","Must have handle","Yes, explain below","Glass weight. It is heavier than plastic.","Both","10 to 15 euros","Online","On a daily basis"
"2021/07/06 8:56:55 AM GMT+1","To save the world","No","Glass","Yes","Yes","No","","No","","Practicality (easy to wash and carry,...)","10 to 15 euros","Donâ€™t know /remember","On a daily basis"
"2021/07/06 9:08:36 AM GMT+1","For the environment","Yes","Steel","Yes","Yes","Yes, explain below","Hold hot/cold; lid shape; leak protection","Yes, explain below","Cleaning","Design (it should be pretty)","15 to 20 euros","Organic / Eco-friendly  shop","On a daily basis"
"2021/07/06 9:31:05 AM GMT+1","To drink water during workout","No","Plastic","Yes","No","No","","Yes, explain below","Water temperature is usually not cold ","Both.","10 to 15 euros","Sports shop","On a daily basis"
"2021/07/06 10:51:56 AM GMT+1","TO save plastic","No","Plastic","Yes","Yes","No","","No","","Design (it should be pretty)","10 to 15 euros","Supermarket","On a daily basis"
"2021/07/06 10:59:00 AM GMT+1","reduce waste, save money","Yes","Plastic","No","No","No","","No","","Practicality (easy to wash and carry,...)","10 to 15 euros","Sports shop","On a daily basis"
"2021/07/06 11:19:04 AM GMT+1","It is more practical. ","Yes","Glass","Yes","No","No","","No","","Practicality (easy to wash and carry,...)","20 to 30 euros","Supermarket","On a daily basis"
"2021/07/06 11:29:28 AM GMT+1","To reduce plastic waste, and keep water cool for a whole day while outside","Yes","Other (bamboo, aluminium, ...)","Yes","Yes","Yes, explain below","being able to mantain liquids cold or hot for long periods of time/ 1L capability/ Handle to attach it easily to backpack while on strolls/ large mouthpiece for easy cleaning/ no plastic pieces that easily hold onto odor even after cleaning","No","","Practicality (easy to wash and carry,...)","10 to 15 euros","Sports shop","On a daily basis"
"2021/07/06 12:44:45 PM GMT+1","to save the environment, or to help at least","Yes","Glass","Yes","Yes","No","","No","","Practicality (easy to wash and carry,...)","10 to 15 euros","Supermarket","On a daily basis"
"2021/07/06 1:01:45 PM GMT+1","It's made of Glass","No","Glass","Yes","Yes","Yes, explain below","Glass material to not change water molecules to much and preserve more the temperature","Yes, explain below","Can break","Practicality (easy to wash and carry,...)","10 to 15 euros","Organic / Eco-friendly  shop","On a daily basis"
"2021/07/06 4:37:27 PM GMT+1","Sustainability","No","Steel","Yes","Yes","No","","Yes, explain below","If you go to a place with no way to refill it, you have to end up buying a disposable one.","Both","20 to 30 euros","Online","On a daily basis"
"2021/07/06 4:53:03 PM GMT+1","it is beautiful and I don't need to buy more bottles","Yes","Steel","Yes","Yes","No","","Yes, explain below","you need to carry it always with you","Design (it should be pretty)","10 to 15 euros","It was a gift","On a daily basis"
"2021/07/06 4:53:31 PM GMT+1","To not waste plastic and because they are practical!","Yes","Steel","Yes","Yes","Yes, explain below","I know they are just developing one with uv light inside to clean it from bacteria but yeah, it should have a system to clean it fast","Yes, explain below","Just if you are not used to, you can forget it","Practicality (easy to wash and carry,...)","15 to 20 euros","Online","On a daily basis"
"2021/07/06 4:56:29 PM GMT+1","to stay hydrated","Yes","Plastic","Yes","No","No","","Yes, explain below","I tend to forget bringing it...","Practicality (easy to wash and carry,...)","10 to 15 euros","It was a gift","On a daily basis"
"2021/07/06 4:56:35 PM GMT+1","Primarily, because of the environmental impact as the water in Barcelona is drinkable but people prefer to buy bottled water. When we realized we preferred that too, we decided to get reusable water bottles to minimize our impact on environment. The type we have also keeps water cold/hot as a thermos, so it is also convenient for us during both winter and summer months.","Yes","Steel","Yes","Yes","Yes, explain below","Definitely, yes to thermos so it keeps water at constant temperature. Otherwise, no other preference. Size wise, we have a few different sizes and that is also handy depending on where we are taking them.","Yes, explain below","It is a little bit hard to clean, so i would suggest the cleaning part can be improved","Practicality (easy to wash and carry,...)","20 to 30 euros","Online","On a daily basis"
"2021/07/06 5:00:50 PM GMT+1","Because it helps the planet","No","Steel","Yes","Yes","Yes, explain below","Specially mold. Sometimes materials are not mold proof","No","","Design (it should be pretty)","10 to 15 euros","It was a gift","On a daily basis"
"2021/07/06 5:03:14 PM GMT+1","To use it when I do sports","Yes","Glass","Yes","Yes","No","","No","","Practicality (easy to wash and carry,...)","10 to 15 euros","Online","On a daily basis"
"2021/07/06 5:04:06 PM GMT+1","I mostly drink tap water so it makes sense to have one","No","Steel","No","No","No","","Yes, explain below","Heavy, difficult to keep water cold","Practicality (easy to wash and carry,...)","10 to 15 euros","It was a gift","On a daily basis"
"2021/07/06 5:05:47 PM GMT+1","to avoid buying plastic bottles","Yes","Steel","Yes","Yes","No","","No","","Practicality (easy to wash and carry,...)","10 to 15 euros","Online","On a daily basis"
"2021/07/06 9:28:37 PM GMT+1","sustainable reasons","No","Other (bamboo, aluminium, ...)","Yes","Yes","Yes, explain below","hold cold/hot","No","","Practicality (easy to wash and carry,...)","15 to 20 euros","Online","On a daily basis"
"2021/07/06 9:36:56 PM GMT+1","one time cost and reduce plastic","No","Steel","Yes","Yes","Yes, explain below","steel is better than plastic","No","","Practicality (easy to wash and carry,...)","10 to 15 euros","Online","On a daily basis"
"2021/07/07 4:37:19 PM GMT+1","Because I think its important","Yes","Other (bamboo, aluminium, ...)","Yes","Yes","No","","No","","Design (it should be pretty)","15 to 20 euros","Online","On a daily basis"
"2021/07/07 6:42:10 PM GMT+1","I like to have always a bottle with me and not waste plastic, plus I can keep the initial temperature a lot better.","No","Steel","Yes","No","Yes, explain below","In my steel bottle im starting to see spots of rust, maybe it would be better just to have a high grade plastic.","No","","Practicality (easy to wash and carry,...)","20 to 30 euros","Online","On a daily basis"