#NAME?,,,,,,,,,,,,,,,,,,
Time,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Country,,,,,,,,,,,,,,,,,,
Australia,"20,664.4","20,867.9","21,140.2","21,511.3","21,685.7","21,353.7","22,061.9","21,675.5","21,954.4","21,844.1","22,009.4","22,309.1","22,375.2","22,445.1","22,718.9","22,982.2","23,187.2","23,975.6"
Belgium,"21,651.3","21,941.5","21,814.6","21,578.3","21,413.6","21,454","21,701.7","21,614.1","22,685","22,199","22,089","21,908.7","22,319","22,243.4","22,119.2","21,908.5","21,882.2","21,654.4"
Canada,"14,205.3","14,056","13,858.6","13,880.8","14,002.8","14,311.7","14,454.6","15,038.4","15,927.2","16,496","16,543.5","16,853.8","16,964.8","17,074.3","17,338.9","17,606.8","17,913","19,811.1"
Chile,"4,507.9","4,637.8","4,701.6","4,833","4,925.8","5,052.9","5,143.8","5,138.4","5,475.2","5,615.6","5,708.2","5,870.4","6,189.3","6,362.8","6,534.6","6,893.9","7,178.7","7,319.5"
Czech Republic,"5,893.9","6,593.6","7,163.5","7,533.2","7,931.3","8,357","8,373.7","7,873.1","7,793.7","7,680.6","7,536.1","7,296.2","7,380.1","7,616.1","8,217.9","8,783.1","9,525.6","10,342.4"
Estonia,"3,339.9","3,728.6","4,296","4,786.5","4,988.2","5,326.6","5,996.2","6,565.3","6,570.5","6,380.8","6,078","6,100","6,548.9","7,272.9","8,029.5","8,839.9","9,342.9","9,609.1"
France,"17,559.2","17,781","18,086.3","18,692.1","19,414.1","19,900","20,101.5","20,140.5","20,493.1","20,356.7","20,332.3","20,593.3","20,680.1","20,793.7","20,960.5","21,052.8","21,031.6","20,903.3"
Germany,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"22,044.3","21,936.4","22,480.6","22,097.9"
Greece,"13,276.5","13,494","13,701.6","13,997.8","14,269.5","14,681.9","15,034.9","15,330.9","16,015.7","15,564.9","15,184.2","12,144.4","11,868.7","12,026.4","12,238.8","12,340.7","12,203.9","12,128"
Hungary,"5,764.3","6,845","6,540.1","6,494.5","6,744.5","7,115.6","6,907.4","6,861.9","6,823.1","6,689.2","6,830.3","7,708.1","7,984.1","8,288.2","8,579.2","9,033.8","10,150.5","10,669.4"
Ireland,"15,560.5","15,620.3","15,789.7","16,909.7","17,648.8","17,484","18,476.1","18,111.1","18,960.2","19,136.6","18,659.5","18,348.3","18,255.4","18,222.1","18,275.1","19,329.9","19,474.8","20,008.7"
Israel,"11,935.9","11,554.5","11,712.4","11,760.7","11,608.7","11,934.1","12,481.2","12,261.5","12,086.2","11,767.6","11,771.9","12,055.9","12,298.4","12,239.1","13,068.9","13,644.4","14,365.4","15,104.2"
Japan,"13,240.4","13,429.6","13,484.5","13,516.1","13,625.7","13,739","14,025.1","14,124.5","14,556.6","14,958.6","15,167.8","15,437.2","15,695.6","15,601.9","15,869.3","16,381.8","16,802.1","16,802.1"
Korea,"8,365.1","9,040.9","9,523","10,234.6","11,126.1","11,526.6","12,619.7","13,060.9","13,485.9","13,461.1","13,601.4","13,049.8","13,669.8","14,469.8","15,388.7","16,469.7","17,334.4","19,880.8"
Latvia,"2,242.3","2,396.4","2,739.7","3,062.9","2,988.6","3,274.8","4,267.7","5,503.1","6,168.3","6,031.1","6,480.2","6,312.2","6,204.6","6,947.4","7,778.9","7,971.8","8,047.9","8,969.8"
Lithuania,"4,472.2","4,459.6","4,580.7","5,011.9","5,303","5,598.7","5,985.6","6,641.3","6,358.1","6,275.3","6,026.4","5,998","7,231.5","7,288.7","7,864.2","9,103","9,136.9","9,365.1"
Luxembourg,"21,459.2","21,416.6","22,217.9","22,185.6","22,631.7","22,501.2","22,923","22,630.6","23,573.5","23,432.6","23,374.9","23,195.5","23,171.4","24,167.3","24,218.8","24,148.6","24,671.3","24,553"
Mexico,"1,886.7","1,900.1","1,899.3","1,891.4","1,900.6","1,907.3","1,905.9","1,885.7","1,873.6","1,886.1","1,898.8","1,901.8","1,910.1","1,907.9","1,946.6","2,011.8","2,079","2,188"
Netherlands,"22,906.2","23,157.7","23,389.5","23,240.9","22,855","22,851.5","23,023.3","23,097.7","23,573.4","23,643.5","23,266.8","23,181.2","22,895.6","22,998.2","23,036.1","23,408.2","23,504.6","23,520.6"
New Zealand,"14,117.9","14,221.9","14,766.7","15,277.7","15,689.3","16,284.2","17,366.6","17,939.2","18,404.1","18,444.2","18,079.4","18,494.8","18,714.6","19,078.6","19,696.3","20,238.9","20,528","20,932.5"
Poland,"6,659.8","6,535.3","6,832.6","6,807.3","6,863.9","7,176","7,292","8,421.5","9,194.4","9,251.1","9,339.8","9,760.5","10,309","10,818.6","11,368.7","12,098.8","12,813.8","13,214.9"
Portugal,"9,303.7","9,351.7","9,283.6","9,285.3","9,317.3","9,301.7","9,486.3","9,774.6","10,412.3","10,838.8","10,676.8","10,388.7","10,360.3","10,389.2","10,765.2","11,229.8","11,642.5","12,004.1"
Slovak Republic,"5,273.9","5,737.7","5,925.1","5,980.6","6,213.6","6,375","6,773.9","6,790.5","7,344.4","7,575.2","7,509.8","7,481.6","7,615.1","7,943.6","8,603.4","9,217.4","9,771.9","10,518.4"
Slovenia,"10,042.2","10,417.7","10,760","11,113","11,383.2","11,481.3","11,353.8","11,610.9","11,943.9","14,083.4","14,503.2","14,463.1","14,595.9","14,660.4","14,775.9","14,784","14,838","15,269.9"
Spain,"11,791.9","11,672.1","11,558.4","11,448.7","12,071.3","12,567.5","12,898.1","13,031.6","13,592","13,550.7","13,298.9","12,981.4","12,878.9","12,898.4","13,029.6","13,186.5","13,972.4","14,289.8"
Turkey,"6,056.1","6,490","6,907.3","9,012.1","9,389.9","9,309.2","9,248.9","9,101.1","9,334.3","9,423.4","9,706.2","9,969.5","10,153.3","10,282.9","11,031.6","13,237.8","12,854.2","12,616"
United Kingdom,"13,975.4","14,950.2","15,291.9","16,177.7","16,931.5","17,273.9","17,760.3","17,736.6","17,939.8","17,760.9","17,491.3","17,455.3","17,378.5","17,513","17,970.6","19,558.3","19,663.3","20,053.1"
United States,"15,191.2","14,954","14,622.1","14,240.8","13,773.5","13,343.1","13,745.7","14,935.6","16,693.1","17,365.7","16,834.3","16,493","16,254.9","15,995.4","15,976.5","15,777.4","15,448.3","15,080"
Costa Rica,"7,607.6","7,512.6","7,568.1","7,481.3","7,537.4","7,619.1","7,686.2","7,841.2","7,936","8,217.8","8,323.1","8,464","8,536.9","8,500.5","9,007.5","9,261.9","9,113.7","9,132.3"
Brazil,"2,662.8","2,771.5","2,849.7","2,944.5","3,117.8","3,523.2","3,752","3,899.8","4,187.6","4,412","4,414.7","4,787.4","4,913.6","4,934.6","4,926","5,059","5,207.2","5,114.3"
Russian Federation,516.8,714.1,765.7,849.8,930.1,"1,260.7","2,418.2","2,119.2","3,573.4","3,344.3","3,200.7","3,125.5","3,304.9","3,270.7","3,040","2,954.2","3,513.4","4,734.2"
Colombia,"6,160.1","6,258","6,276.3","6,390.7","6,482.7","6,647.7","6,695.2","6,658.3","6,880","6,972.3","7,011.6","7,190.9","7,332.3","7,446.1","7,418.6","7,383.1","7,573.4","7,768.5"
,,,,,,,,,,,,,,,,,,